ObjectID,TrackingRegion,X,Y,RelX,RelY,Frame,MSec,CountingRegion,Direction,Speed,Acceleration,AngularSpeed,TotalDistance,DataQuality,Time,Millisec,Indicator,NObjects,BlobType
0,T_24,1190,417,50,2,38841,-1724319.989,Right2,360,0,0,0,115192.5302,NotFound,8/6/2024 11:10:52,104,0,0,None
0,T_25,1108,483,-40,16,38841,-1724319.989,Left2,180,0,0,0,32225.44651,NotFound,8/6/2024 11:10:52,104,0,0,None
0,T_26,1277,535,125,14,38841,-1724319.989,Right2,360,0,0,0,22688.39588,NotFound,8/6/2024 11:10:52,104,0,0,None
0,T_27,1369,582,221,7,38841,-1724319.989,Right2,-1,0,0,0,31627.76439,NotFound,8/6/2024 11:10:52,104,0,0,None
0,T_28,1265,619,121,-4,38841,-1724319.989,Right2,270,0,0,0,41132.63941,NotFound,8/6/2024 11:10:52,104,0,0,None
0,T_29,1112,686,-34,13,38841,-1724319.989,Left2,-1,0,0,0,44415.66757,NotFound,8/6/2024 11:10:52,104,0,0,None
0,T_30,1154,794,10,9,38841,-1724319.989,Right2,360,0,0,0,142842.5636,NotFound,8/6/2024 11:10:52,104,0,0,None
0,T_31,957,838,-189,3,38841,-1724319.989,Left2,-1,0,0,0,70696.67875,NotFound,8/6/2024 11:10:52,104,0,0,None
0,T_32,1297,876,155,-5,38841,-1724319.989,Right2,-1,0,0,0,169266.2192,NotFound,8/6/2024 11:10:52,104,0,0,None
0,T_33,1016,930,-134,1,38841,-1724319.989,Left2,360,0,0,0,85536.47888,NotFound,8/6/2024 11:10:52,104,0,0,None
0,T_34,1281,993,135,10,38841,-1724319.989,Right2,360,0,0,0,37816.99597,NotFound,8/6/2024 11:10:52,104,0,0,None
0,T_35,1060,1031,-82,-8,38841,-1724319.989,Left2,-1,0,0,0,37281.43299,NotFound,8/6/2024 11:10:52,104,0,0,None
0,T_0,307,58,-5,13,38842,-1724181.621,Left1,360,0,0,0,62993.3206,NotFound,8/6/2024 11:10:52,241,0,0,None
0,T_1,431,106,115,7,38842,-1724181.621,Right1,360,0,0,0,28448.24203,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_2,370,149,54,4,38842,-1724181.621,Right1,-1,0,0,0,15733.18913,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_3,323,197,7,-4,38842,-1724181.621,None,-1,0,0,0,25639.3092,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_4,337,257,21,0,38842,-1724181.621,Right1,360,0,0,0,17571.09238,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_5,559,315,255,6,38842,-1724181.621,Right1,-1,0,0,0,42509.22906,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_6,515,418,205,1,38842,-1724181.621,Right1,-1,0,0,0,131226.9066,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_7,348,476,40,7,38842,-1724181.621,Right1,-1,0,0,0,114794.034,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_8,294,524,-18,3,38842,-1724181.621,Left1,360,0,0,0,48955.74939,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_9,128,557,-182,-14,38842,-1724181.621,Left1,180,0,0,0,89318.88058,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_10,328,621,14,0,38842,-1724181.621,Right1,-1,0,0,0,66527.90752,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_11,233,675,-83,0,38842,-1724181.621,Left1,360,0,0,0,114969.3467,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_12,280,778,-34,-3,38842,-1724181.621,Left1,-1,0,0,0,166536.306,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_13,170,840,-146,11,38842,-1724181.621,Left1,360,0,0,0,30021.37888,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_14,442,870,124,-11,38842,-1724181.621,Right1,-1,0,0,0,163621.1588,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_15,52,930,-258,-3,38842,-1724181.621,Left1,45,0,0,0,79911.14079,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_16,371,982,59,1,38842,-1724181.621,Right1,-1,0,0,0,118618.1907,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_17,521,1043,207,14,38842,-1724181.621,Right1,360,0,0,0,45741.07963,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_18,957,49,-187,2,38842,-1724181.621,Left2,360,0,0,0,60160.78121,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_19,1099,116,-47,15,38842,-1724181.621,Left2,-1,0,0,0,32259.03366,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_20,892,153,-256,-2,38842,-1724181.621,Left2,-1,0,0,0,102136.7056,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_21,1254,206,108,1,38842,-1724181.621,Right2,-1,0,0,0,75914.60198,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_22,1018,251,-124,-8,38842,-1724181.621,Left2,360,0,0,0,42112.68916,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_23,1105,314,-35,5,38842,-1724181.621,Left2,-1,0,0,0,71771.07486,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_24,1190,417,50,2,38842,-1724181.621,Right2,360,0,0,0,115192.5302,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_25,1108,483,-40,16,38842,-1724181.621,Left2,180,0,0,0,32225.44651,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_26,1277,535,125,14,38842,-1724181.621,Right2,360,0,0,0,22688.39588,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_27,1369,582,221,7,38842,-1724181.621,Right2,-1,0,0,0,31627.76439,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_28,1265,619,121,-4,38842,-1724181.621,Right2,270,0,0,0,41132.63941,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_29,1112,686,-34,13,38842,-1724181.621,Left2,-1,0,0,0,44415.66757,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_30,1154,794,10,9,38842,-1724181.621,Right2,360,0,0,0,142842.5636,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_31,957,838,-189,3,38842,-1724181.621,Left2,-1,0,0,0,70696.67875,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_32,1297,876,155,-5,38842,-1724181.621,Right2,-1,0,0,0,169266.2192,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_33,1016,930,-134,1,38842,-1724181.621,Left2,360,0,0,0,85536.47888,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_34,1281,993,135,10,38842,-1724181.621,Right2,360,0,0,0,37816.99597,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_35,1060,1031,-82,-8,38842,-1724181.621,Left2,-1,0,0,0,37281.43299,NotFound,8/6/2024 11:10:52,242,0,0,None
0,T_0,307,58,-5,13,38843,-1724042.117,Left1,360,0,0,0,62993.3206,NotFound,8/6/2024 11:10:52,380,0,0,None
0,T_1,431,106,115,7,38843,-1724042.117,Right1,360,0,0,0,28448.24203,NotFound,8/6/2024 11:10:52,380,0,0,None
0,T_2,370,149,54,4,38843,-1724042.117,Right1,-1,0,0,0,15733.18913,NotFound,8/6/2024 11:10:52,380,0,0,None
0,T_3,323,197,7,-4,38843,-1724042.117,None,-1,0,0,0,25639.3092,NotFound,8/6/2024 11:10:52,380,0,0,None
0,T_4,337,257,21,0,38843,-1724042.117,Right1,360,0,0,0,17571.09238,NotFound,8/6/2024 11:10:52,380,0,0,None
0,T_5,559,315,255,6,38843,-1724042.117,Right1,-1,0,0,0,42509.22906,NotFound,8/6/2024 11:10:52,380,0,0,None
0,T_6,515,418,205,1,38843,-1724042.117,Right1,-1,0,0,0,131226.9066,NotFound,8/6/2024 11:10:52,380,0,0,None
0,T_7,348,476,40,7,38843,-1724042.117,Right1,-1,0,0,0,114794.034,NotFound,8/6/2024 11:10:52,380,0,0,None
0,T_8,294,524,-18,3,38843,-1724042.117,Left1,360,0,0,0,48955.74939,NotFound,8/6/2024 11:10:52,380,0,0,None
0,T_9,128,557,-182,-14,38843,-1724042.117,Left1,180,0,0,0,89318.88058,NotFound,8/6/2024 11:10:52,380,0,0,None
0,T_10,328,621,14,0,38843,-1724042.117,Right1,-1,0,0,0,66527.90752,NotFound,8/6/2024 11:10:52,380,0,0,None
0,T_11,233,675,-83,0,38843,-1724042.117,Left1,360,0,0,0,114969.3467,NotFound,8/6/2024 11:10:52,380,0,0,None
0,T_12,280,778,-34,-3,38843,-1724042.117,Left1,-1,0,0,0,166536.306,NotFound,8/6/2024 11:10:52,380,0,0,None
0,T_13,170,840,-146,11,38843,-1724042.117,Left1,360,0,0,0,30021.37888,NotFound,8/6/2024 11:10:52,381,0,0,None
0,T_14,442,870,124,-11,38843,-1724042.117,Right1,-1,0,0,0,163621.1588,NotFound,8/6/2024 11:10:52,381,0,0,None
0,T_15,52,930,-258,-3,38843,-1724042.117,Left1,45,0,0,0,79911.14079,NotFound,8/6/2024 11:10:52,381,0,0,None
0,T_16,371,982,59,1,38843,-1724042.117,Right1,-1,0,0,0,118618.1907,NotFound,8/6/2024 11:10:52,381,0,0,None
0,T_17,521,1043,207,14,38843,-1724042.117,Right1,360,0,0,0,45741.07963,NotFound,8/6/2024 11:10:52,381,0,0,None
0,T_18,957,49,-187,2,38843,-1724042.117,Left2,360,0,0,0,60160.78121,NotFound,8/6/2024 11:10:52,381,0,0,None
0,T_19,1099,116,-47,15,38843,-1724042.117,Left2,-1,0,0,0,32259.03366,NotFound,8/6/2024 11:10:52,381,0,0,None
0,T_20,892,153,-256,-2,38843,-1724042.117,Left2,-1,0,0,0,102136.7056,NotFound,8/6/2024 11:10:52,381,0,0,None
0,T_21,1254,206,108,1,38843,-1724042.117,Right2,-1,0,0,0,75914.60198,NotFound,8/6/2024 11:10:52,381,0,0,None
0,T_22,1018,251,-124,-8,38843,-1724042.117,Left2,360,0,0,0,42112.68916,NotFound,8/6/2024 11:10:52,381,0,0,None
0,T_23,1105,314,-35,5,38843,-1724042.117,Left2,-1,0,0,0,71771.07486,NotFound,8/6/2024 11:10:52,381,0,0,None
0,T_24,1190,417,50,2,38843,-1724042.117,Right2,360,0,0,0,115192.5302,NotFound,8/6/2024 11:10:52,381,0,0,None
0,T_25,1108,483,-40,16,38843,-1724042.117,Left2,180,0,0,0,32225.44651,NotFound,8/6/2024 11:10:52,381,0,0,None
0,T_26,1277,535,125,14,38843,-1724042.117,Right2,360,0,0,0,22688.39588,NotFound,8/6/2024 11:10:52,381,0,0,None
0,T_27,1369,582,221,7,38843,-1724042.117,Right2,-1,0,0,0,31627.76439,NotFound,8/6/2024 11:10:52,381,0,0,None
0,T_28,1265,619,121,-4,38843,-1724042.117,Right2,270,0,0,0,41132.63941,NotFound,8/6/2024 11:10:52,381,0,0,None
0,T_29,1112,686,-34,13,38843,-1724042.117,Left2,-1,0,0,0,44415.66757,NotFound,8/6/2024 11:10:52,381,0,0,None
0,T_30,1154,794,10,9,38843,-1724042.117,Right2,360,0,0,0,142842.5636,NotFound,8/6/2024 11:10:52,381,0,0,None
0,T_31,957,838,-189,3,38843,-1724042.117,Left2,-1,0,0,0,70696.67875,NotFound,8/6/2024 11:10:52,381,0,0,None
0,T_32,1297,876,155,-5,38843,-1724042.117,Right2,-1,0,0,0,169266.2192,NotFound,8/6/2024 11:10:52,381,0,0,None
0,T_33,1016,930,-134,1,38843,-1724042.117,Left2,360,0,0,0,85536.47888,NotFound,8/6/2024 11:10:52,381,0,0,None
0,T_34,1281,993,135,10,38843,-1724042.117,Right2,360,0,0,0,37816.99597,NotFound,8/6/2024 11:10:52,381,0,0,None
0,T_35,1060,1031,-82,-8,38843,-1724042.117,Left2,-1,0,0,0,37281.43299,NotFound,8/6/2024 11:10:52,381,0,0,None
0,T_0,307,58,-5,13,38844,-1723903.272,Left1,360,0,0,0,62993.3206,NotFound,8/6/2024 11:10:52,520,0,0,None
0,T_1,431,106,115,7,38844,-1723903.272,Right1,360,0,0,0,28448.24203,NotFound,8/6/2024 11:10:52,520,0,0,None
0,T_2,370,149,54,4,38844,-1723903.272,Right1,-1,0,0,0,15733.18913,NotFound,8/6/2024 11:10:52,520,0,0,None
0,T_3,323,197,7,-4,38844,-1723903.272,None,-1,0,0,0,25639.3092,NotFound,8/6/2024 11:10:52,520,0,0,None
0,T_4,337,257,21,0,38844,-1723903.272,Right1,360,0,0,0,17571.09238,NotFound,8/6/2024 11:10:52,520,0,0,None
0,T_5,559,315,255,6,38844,-1723903.272,Right1,-1,0,0,0,42509.22906,NotFound,8/6/2024 11:10:52,520,0,0,None
0,T_6,515,418,205,1,38844,-1723903.272,Right1,-1,0,0,0,131226.9066,NotFound,8/6/2024 11:10:52,520,0,0,None
0,T_7,348,476,40,7,38844,-1723903.272,Right1,-1,0,0,0,114794.034,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_8,294,524,-18,3,38844,-1723903.272,Left1,360,0,0,0,48955.74939,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_9,128,557,-182,-14,38844,-1723903.272,Left1,180,0,0,0,89318.88058,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_10,328,621,14,0,38844,-1723903.272,Right1,-1,0,0,0,66527.90752,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_11,233,675,-83,0,38844,-1723903.272,Left1,360,0,0,0,114969.3467,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_12,280,778,-34,-3,38844,-1723903.272,Left1,-1,0,0,0,166536.306,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_13,170,840,-146,11,38844,-1723903.272,Left1,360,0,0,0,30021.37888,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_14,442,870,124,-11,38844,-1723903.272,Right1,-1,0,0,0,163621.1588,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_15,52,930,-258,-3,38844,-1723903.272,Left1,45,0,0,0,79911.14079,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_16,371,982,59,1,38844,-1723903.272,Right1,-1,0,0,0,118618.1907,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_17,521,1043,207,14,38844,-1723903.272,Right1,360,0,0,0,45741.07963,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_18,957,49,-187,2,38844,-1723903.272,Left2,360,0,0,0,60160.78121,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_19,1099,116,-47,15,38844,-1723903.272,Left2,-1,0,0,0,32259.03366,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_20,892,153,-256,-2,38844,-1723903.272,Left2,-1,0,0,0,102136.7056,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_21,1254,206,108,1,38844,-1723903.272,Right2,-1,0,0,0,75914.60198,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_22,1018,251,-124,-8,38844,-1723903.272,Left2,360,0,0,0,42112.68916,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_23,1105,314,-35,5,38844,-1723903.272,Left2,-1,0,0,0,71771.07486,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_24,1190,417,50,2,38844,-1723903.272,Right2,360,0,0,0,115192.5302,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_25,1108,483,-40,16,38844,-1723903.272,Left2,180,0,0,0,32225.44651,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_26,1277,535,125,14,38844,-1723903.272,Right2,360,0,0,0,22688.39588,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_27,1369,582,221,7,38844,-1723903.272,Right2,-1,0,0,0,31627.76439,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_28,1265,619,121,-4,38844,-1723903.272,Right2,270,0,0,0,41132.63941,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_29,1112,686,-34,13,38844,-1723903.272,Left2,-1,0,0,0,44415.66757,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_30,1154,794,10,9,38844,-1723903.272,Right2,360,0,0,0,142842.5636,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_31,957,838,-189,3,38844,-1723903.272,Left2,-1,0,0,0,70696.67875,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_32,1297,876,155,-5,38844,-1723903.272,Right2,-1,0,0,0,169266.2192,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_33,1016,930,-134,1,38844,-1723903.272,Left2,360,0,0,0,85536.47888,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_34,1281,993,135,10,38844,-1723903.272,Right2,360,0,0,0,37816.99597,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_35,1060,1031,-82,-8,38844,-1723903.272,Left2,-1,0,0,0,37281.43299,NotFound,8/6/2024 11:10:52,521,0,0,None
0,T_0,307,58,-5,13,38845,-1723763.685,Left1,360,0,0,0,62993.3206,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_1,431,106,115,7,38845,-1723763.685,Right1,360,0,0,0,28448.24203,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_2,370,149,54,4,38845,-1723763.685,Right1,-1,0,0,0,15733.18913,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_3,323,197,7,-4,38845,-1723763.685,None,-1,0,0,0,25639.3092,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_4,337,257,21,0,38845,-1723763.685,Right1,360,0,0,0,17571.09238,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_5,559,315,255,6,38845,-1723763.685,Right1,-1,0,0,0,42509.22906,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_6,515,418,205,1,38845,-1723763.685,Right1,-1,0,0,0,131226.9066,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_7,348,476,40,7,38845,-1723763.685,Right1,-1,0,0,0,114794.034,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_8,294,524,-18,3,38845,-1723763.685,Left1,360,0,0,0,48955.74939,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_9,128,557,-182,-14,38845,-1723763.685,Left1,180,0,0,0,89318.88058,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_10,328,621,14,0,38845,-1723763.685,Right1,-1,0,0,0,66527.90752,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_11,233,675,-83,0,38845,-1723763.685,Left1,360,0,0,0,114969.3467,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_12,280,778,-34,-3,38845,-1723763.685,Left1,-1,0,0,0,166536.306,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_13,170,840,-146,11,38845,-1723763.685,Left1,360,0,0,0,30021.37888,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_14,442,870,124,-11,38845,-1723763.685,Right1,-1,0,0,0,163621.1588,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_15,52,930,-258,-3,38845,-1723763.685,Left1,45,0,0,0,79911.14079,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_16,371,982,59,1,38845,-1723763.685,Right1,-1,0,0,0,118618.1907,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_17,521,1043,207,14,38845,-1723763.685,Right1,360,0,0,0,45741.07963,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_18,957,49,-187,2,38845,-1723763.685,Left2,360,0,0,0,60160.78121,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_19,1099,116,-47,15,38845,-1723763.685,Left2,-1,0,0,0,32259.03366,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_20,892,153,-256,-2,38845,-1723763.685,Left2,-1,0,0,0,102136.7056,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_21,1254,206,108,1,38845,-1723763.685,Right2,-1,0,0,0,75914.60198,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_22,1018,251,-124,-8,38845,-1723763.685,Left2,360,0,0,0,42112.68916,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_23,1105,314,-35,5,38845,-1723763.685,Left2,-1,0,0,0,71771.07486,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_24,1190,417,50,2,38845,-1723763.685,Right2,360,0,0,0,115192.5302,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_25,1108,483,-40,16,38845,-1723763.685,Left2,180,0,0,0,32225.44651,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_26,1277,535,125,14,38845,-1723763.685,Right2,360,0,0,0,22688.39588,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_27,1369,582,221,7,38845,-1723763.685,Right2,-1,0,0,0,31627.76439,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_28,1265,619,121,-4,38845,-1723763.685,Right2,270,0,0,0,41132.63941,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_29,1112,686,-34,13,38845,-1723763.685,Left2,-1,0,0,0,44415.66757,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_30,1154,794,10,9,38845,-1723763.685,Right2,360,0,0,0,142842.5636,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_31,957,838,-189,3,38845,-1723763.685,Left2,-1,0,0,0,70696.67875,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_32,1297,876,155,-5,38845,-1723763.685,Right2,-1,0,0,0,169266.2192,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_33,1016,930,-134,1,38845,-1723763.685,Left2,360,0,0,0,85536.47888,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_34,1281,993,135,10,38845,-1723763.685,Right2,360,0,0,0,37816.99597,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_35,1060,1031,-82,-8,38845,-1723763.685,Left2,-1,0,0,0,37281.43299,NotFound,8/6/2024 11:10:52,659,0,0,None
0,T_0,307,58,-5,13,38846,-1723623.553,Left1,360,0,0,0,62993.3206,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_1,431,106,115,7,38846,-1723623.553,Right1,360,0,0,0,28448.24203,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_2,370,149,54,4,38846,-1723623.553,Right1,-1,0,0,0,15733.18913,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_3,323,197,7,-4,38846,-1723623.553,None,-1,0,0,0,25639.3092,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_4,337,257,21,0,38846,-1723623.553,Right1,360,0,0,0,17571.09238,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_5,559,315,255,6,38846,-1723623.553,Right1,-1,0,0,0,42509.22906,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_6,515,418,205,1,38846,-1723623.553,Right1,-1,0,0,0,131226.9066,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_7,348,476,40,7,38846,-1723623.553,Right1,-1,0,0,0,114794.034,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_8,294,524,-18,3,38846,-1723623.553,Left1,360,0,0,0,48955.74939,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_9,128,557,-182,-14,38846,-1723623.553,Left1,180,0,0,0,89318.88058,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_10,328,621,14,0,38846,-1723623.553,Right1,-1,0,0,0,66527.90752,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_11,233,675,-83,0,38846,-1723623.553,Left1,360,0,0,0,114969.3467,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_12,280,778,-34,-3,38846,-1723623.553,Left1,-1,0,0,0,166536.306,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_13,170,840,-146,11,38846,-1723623.553,Left1,360,0,0,0,30021.37888,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_14,442,870,124,-11,38846,-1723623.553,Right1,-1,0,0,0,163621.1588,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_15,52,930,-258,-3,38846,-1723623.553,Left1,45,0,0,0,79911.14079,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_16,371,982,59,1,38846,-1723623.553,Right1,-1,0,0,0,118618.1907,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_17,521,1043,207,14,38846,-1723623.553,Right1,360,0,0,0,45741.07963,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_18,957,49,-187,2,38846,-1723623.553,Left2,360,0,0,0,60160.78121,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_19,1099,116,-47,15,38846,-1723623.553,Left2,-1,0,0,0,32259.03366,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_20,892,153,-256,-2,38846,-1723623.553,Left2,-1,0,0,0,102136.7056,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_21,1254,206,108,1,38846,-1723623.553,Right2,-1,0,0,0,75914.60198,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_22,1018,251,-124,-8,38846,-1723623.553,Left2,360,0,0,0,42112.68916,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_23,1105,314,-35,5,38846,-1723623.553,Left2,-1,0,0,0,71771.07486,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_24,1190,417,50,2,38846,-1723623.553,Right2,360,0,0,0,115192.5302,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_25,1108,483,-40,16,38846,-1723623.553,Left2,180,0,0,0,32225.44651,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_26,1277,535,125,14,38846,-1723623.553,Right2,360,0,0,0,22688.39588,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_27,1369,582,221,7,38846,-1723623.553,Right2,-1,0,0,0,31627.76439,NotFound,8/6/2024 11:10:52,800,0,0,None
0,T_28,1265,619,121,-4,38846,-1723623.553,Right2,270,0,0,0,41132.63941,NotFound,8/6/2024 11:10:52,801,0,0,None
0,T_29,1112,686,-34,13,38846,-1723623.553,Left2,-1,0,0,0,44415.66757,NotFound,8/6/2024 11:10:52,801,0,0,None
0,T_30,1154,794,10,9,38846,-1723623.553,Right2,360,0,0,0,142842.5636,NotFound,8/6/2024 11:10:52,801,0,0,None
0,T_31,957,838,-189,3,38846,-1723623.553,Left2,-1,0,0,0,70696.67875,NotFound,8/6/2024 11:10:52,801,0,0,None
0,T_32,1297,876,155,-5,38846,-1723623.553,Right2,-1,0,0,0,169266.2192,NotFound,8/6/2024 11:10:52,801,0,0,None
0,T_33,1016,930,-134,1,38846,-1723623.553,Left2,360,0,0,0,85536.47888,NotFound,8/6/2024 11:10:52,801,0,0,None
0,T_34,1281,993,135,10,38846,-1723623.553,Right2,360,0,0,0,37816.99597,NotFound,8/6/2024 11:10:52,801,0,0,None
0,T_35,1060,1031,-82,-8,38846,-1723623.553,Left2,-1,0,0,0,37281.43299,NotFound,8/6/2024 11:10:52,801,0,0,None
0,T_0,307,58,-5,13,38847,-1723483.81,Left1,360,0,0,0,62993.3206,NotFound,8/6/2024 11:10:52,939,0,0,None
0,T_1,431,106,115,7,38847,-1723483.81,Right1,360,0,0,0,28448.24203,NotFound,8/6/2024 11:10:52,939,0,0,None
0,T_2,370,149,54,4,38847,-1723483.81,Right1,-1,0,0,0,15733.18913,NotFound,8/6/2024 11:10:52,939,0,0,None
0,T_3,323,197,7,-4,38847,-1723483.81,None,-1,0,0,0,25639.3092,NotFound,8/6/2024 11:10:52,939,0,0,None
0,T_4,337,257,21,0,38847,-1723483.81,Right1,360,0,0,0,17571.09238,NotFound,8/6/2024 11:10:52,939,0,0,None
0,T_5,559,315,255,6,38847,-1723483.81,Right1,-1,0,0,0,42509.22906,NotFound,8/6/2024 11:10:52,939,0,0,None
0,T_6,515,418,205,1,38847,-1723483.81,Right1,-1,0,0,0,131226.9066,NotFound,8/6/2024 11:10:52,939,0,0,None
